|time|url|author|title|ip|content|all|push|neutral|dislike
0|Thu Mar 21 14:05:32 2019|https://www.ptt.cc/bbs/Gossiping/M.1553148334.A.E3B.html|nmhl (就這樣先)|請問有無林園石斑魚苗的掛？|182.234.66.238|"  小弟近期被家中長輩帶到林園地區拜訪做石斑魚苗的養殖戶  聊天過程中 對方有透露出 若有心想學經驗 願意無償帶小弟做一兩次 但相關開支（包括  飼料水電等等）當然是我要負責  該養殖戶只處理魚蛋到白身這階段 到規格後會有番仔來收 要我不用擔心銷售通路問題  想請教版上神通廣大的先進們 這個產業還可以投入嗎  小弟在此先向各位願意給建議的大大們鞠躬道謝 感謝  ※ 八卦板務請到 GossipPicket 檢舉板詢問  ※ a.張貼問卦請注意，充實文章內容、是否有專板，本板並非萬能問板。  ※ b.一天只能張貼 ""兩則"" 問卦，自刪及被刪也算兩篇之內，  ※   超貼者將被水桶，請注意!  ※ c.本看板嚴格禁止政治問卦，發文問卦前請先仔細閱讀相關板規。  ※ d.未滿30繁體中文字水桶3個月，嚴重者以鬧板論，請注意！  ※ (↑看完提醒請刪除ctrl + y)    --  "|9|2|4|3
1|Thu Mar 21 14:05:54 2019|https://www.ptt.cc/bbs/Gossiping/M.1553148356.A.C08.html|JapanEmperor (暗天皇黑鮑)|Re: [新聞] 火速通過！紐西蘭槍枝新法規定 這類槍支|101.13.229.223|  左膠一直在吠恐攻份子能殺50人，  就是因為他有槍。    事實是，  那些新移民可能因尚不熟悉紐國法律，  所以沒有槍才被一直殺。    若當初恐攻份子打毛利獵人的營區，  搞不好沒殺兩個人就被打成蜂窩。    台灣是因為極端份子少，  所以才不知道自我防衛的重要性，  可能要哪天某個有槍的8+9變鄭捷，  （台灣黑槍極多）  左膠才會明白自己有多傻。      --  |4|0|3|1
2|Thu Mar 21 14:06:40 2019|https://www.ptt.cc/bbs/Gossiping/M.1553148404.A.4BD.html|cycling (來咬我啊笨蛋)|[問卦] 有沒有開服第一天就要維修四小時的八卦|123.193.56.55|    如題啦    爆爆王M剛剛緊急公告說要維護四小時到六點    那之前測試是在搞屁喔    働 有沒有八卦    --   ／ ◥◣    ◢◤ ＼　  / ╯╰   ＼╭╮  　\　　　     　  ▁ 嗡嗡嗡～  \ ╮╭     \ ▃▃▂▂▃▄▅▆▇███ 嗡嗡嗡～   ＼        / 一︸ ﹌︸一～︷﹏﹎    ！嗡嗡嗡～           ／╰╯         　　　  ﹌︸│嗡嗡嗡～    --  |7|2|4|1
3|Thu Mar 21 14:07:05 2019|https://www.ptt.cc/bbs/Gossiping/M.1553148427.A.853.html|simple52034 (CurryChief)|[問卦] 台北音樂bar|36.231.30.175|  想請教各位30公分/H罩杯    台北有哪些音樂BAR是比較高級的呢?    老闆最好不會說:「整個大台北只有我的酒吧能叫客人聽莫札特的音樂」    我怕酒喝茫了直接被老闆丟下樓    有推薦的嗎?      --  |1|1|0|0
4|Thu Mar 21 14:07:24 2019|https://www.ptt.cc/bbs/Gossiping/M.1553148446.A.531.html|antivenom (中國國民黨PTT黨工專用ID)|[問卦] 八卦板宅男是不是達爾文主義的淘汰品??|111.82.125.172|  八卦板宅男 每次只要看到  社會新聞報導有人掛掉還是貧窮那些  就會在推文裡面說達爾文主義    但是看來看去  達爾文餓主義的最該淘汰的垃圾廢物  不就是八卦板這些宅男嗎    上線鍵盤很強 現實卻是邊緣人窮酸魯蛇  是不是??      --  |6|0|4|2
5|Thu Mar 21 14:07:26 2019|https://www.ptt.cc/bbs/Gossiping/M.1553148449.A.DF1.html|pitalvlu (pital)|[臉書] 賴清德|180.204.135.164|  臉書卦點說明：    前行政院-賴清德 院長 稍早 說明蔡總統此時此刻出國為台灣拼外交，並給予祝福。      臉書連結：    http://bit.ly/2CxwnQS      ＦＢ內容：    今天，蔡總統將率團出訪太平洋友邦帛琉、諾魯以及赴馬紹爾群島出席太平洋婦女領袖的  聯盟會議，並且過境美國夏威夷，為台灣拼外交。    祝總統身體健康，一切平安順利。    --  |21|12|6|3
6|Thu Mar 21 14:07:56 2019|https://www.ptt.cc/bbs/Gossiping/M.1553148478.A.CFA.html|"passing (0""_""0)"|[問卦] 什麼工作每天都有在進步??|36.231.19.60|  大家好    是不是大多數人    工作幾年後技能學得差不多    就是一直做同樣事情    好像也沒辦法累積什麼技能    經驗值可以累積但是上升速度跟充滿等一樣緩慢    但是想升官又得靠這停滯不前經驗值    遇到這種事情是果斷換工作好    還是世界上工作都是這樣    根本沒有什麼工作是沒有你不行的    --  |13|6|6|1
7|Thu Mar 21 14:08:03 2019|https://www.ptt.cc/bbs/Gossiping/M.1553148490.A.8C4.html|kaan888 (kaanChan)|[問卦]台積電77%股權是外國人的八卦|66.98.115.39|    台灣人引以為榮的台積電，原來是一家『假台灣公司』    超過77%的股權是外國人的。  http://i.imgur.com/ES0uWXy.jpg    而且張忠謀還是一個美國人，關於他ROC籍一直『可疑』  http://i.imgur.com/PgQeBKZ.jpg    https://www.tsmc.com/download/ir/annualReports/2014/chinese/c_4_1.html    有沒有台積實質是外國公司的八卦？    --  民主大法好，全民被洗腦。用愛能發電，選票能管飽。  佔領立法院，冷氣不太好。民主有福利，摸奶少不了。  大腸花女王，十萬就能搞。慰安成自願，阿嬤樂當婊。  選舉是大事，其他算個鳥。幾個爛蘋果，不知哪個好。  日雜當總統，這事不算巧。選個貪污犯，最後被扳倒。  來個馬娘娘，啥事幹不了。後有空心蔡，臺獨騙老小。    --  |21|3|11|7
8|Thu Mar 21 14:08:03 2019|https://www.ptt.cc/bbs/Gossiping/M.1553148490.A.8C4.html|kaan888 (kaanChan)|[問卦]台積電77%股權是外國人的八卦|66.98.115.39|    台灣人引以為榮的台積電，原來是一家『假台灣公司』    超過77%的股權是外國人的。  http://i.imgur.com/ES0uWXy.jpg    而且張忠謀還是一個美國人，關於他ROC籍一直『可疑』  http://i.imgur.com/PgQeBKZ.jpg    https://www.tsmc.com/download/ir/annualReports/2014/chinese/c_4_1.html    有沒有台積實質是外國公司的八卦？    --  民主大法好，全民被洗腦。用愛能發電，選票能管飽。  佔領立法院，冷氣不太好。民主有福利，摸奶少不了。  大腸花女王，十萬就能搞。慰安成自願，阿嬤樂當婊。  選舉是大事，其他算個鳥。幾個爛蘋果，不知哪個好。  日雜當總統，這事不算巧。選個貪污犯，最後被扳倒。  來個馬娘娘，啥事幹不了。後有空心蔡，臺獨騙老小。    --  |21|3|11|7
9|Thu Mar 21 14:09:17 2019|https://www.ptt.cc/bbs/Gossiping/M.1553148560.A.257.html|hjgx (妳害了我的狗)|[問卦] 執政包袱是什麼？|114.32.121.27|  大家好我是被新北地檢署80的海山屌哥啦    我看哦  台獨集團最近的口頭禪是  執政包袱    BUTBUTBUT  當初支援太陽花到上台執政的過程中  他們一直強調說他們沒有包袱    那些老鬼米蟲廢物應該是敵人的包袱  怎麼你也有包袱？    --  「今天司法改革交給這些人，怎麼會改革，他們就是一個幫派，    幫派大哥出了事，二哥就護大哥，小弟就在旁邊吆喝，這就是今天司法的問題。」    --  |2|1|1|0
