status_id,status_message,link_name,status_type,status_link,status_published,num_reactions,num_comments,num_shares,num_likes,num_loves,num_wows,num_hahas,num_sads,num_angrys,num_special
232633627068_10156939103542069,"所以老公都對著小三說：「妳這個小妖精」？？？

#婚外情 #小三 #小妖精 #性愛影片",偷情「小妖精」逾10次　他每次都錄性愛影片,link,https://tw.news.appledaily.com/local/realtime/20180323/1320414/,2018-03-23 07:49:04,371,18,3,317,1,9,28,1,15,0
232633627068_10156939075247069,"有正義感的人會做這種事？

#員警 #女警 #偷拍",揭長官抹精女同事內衣褲　正義警卻偷拍如廁,link,https://tw.news.appledaily.com/local/realtime/20180323/1320406/,2018-03-23 07:33:22,464,14,5,371,0,25,14,0,54,0
232633627068_10156939017777069,"周末天氣好好哦～
大家趕快安排外出行程

#天氣 #回暖",冷氣團掰！今起回暖　「鯉魚」颱風最快下周生成,link,https://tw.news.appledaily.com/life/realtime/20180323/1320407/,2018-03-23 07:18:22,2011,27,73,1798,3,186,1,6,17,0
232633627068_10156939013772069,"川普表示，對中國祭出301條款制裁，對總值高達600億美元（約1.75兆元台幣）的中國出口產品開徵高額關稅

#川普 #中國",【開戰動畫】川普簽備忘錄　向中國課徵1.75兆元懲罰關稅,link,https://tw.appledaily.com/recommend/realtime/20180323/1320379/,2018-03-23 07:04:25,1621,71,32,1299,13,94,206,2,7,0
232633627068_10156938959927069,"道瓊工業指數開低走低，終場狂跌724.42點😱😱😱

#最新 #美股 #道瓊",美中貿易戰開打恐殃及台灣　台股開盤大跌逾200點 | 蘋果日報,link,https://tw.appledaily.com/recommend/realtime/20180323/1320376/,2018-03-23 06:50:00,295,18,12,224,4,36,30,1,0,0
232633627068_10156938951522069,"早安～又到了開心的禮拜五😂
來看今日 #各報頭條

《三月二十三日財經焦點搶先看》
https://goo.gl/thLy83",三月二十三日各報頭條搶先看,link,https://tw.news.appledaily.com/politics/realtime/20180323/1320403/,2018-03-23 06:40:00,55,0,1,54,1,0,0,0,0,0
232633627068_10156936970627069,"有了這支秘密武器，再硬的冰淇淋都難不倒我啦～～～
　
看更多 #影片，快加入 蘋果動未條 粉絲團",蘋果動未條,video,https://www.facebook.com/appledaily.animation/videos/833297463536110/,2018-03-23 06:30:01,830,52,92,734,12,83,0,1,0,0
232633627068_10156937376432069,"爭取自己應得的工資，有什麼不對嗎？ ఠ_ఠ   #在那編
　
#蘋果生活 #加班費
🍎不一樣的蘋果日報，加入我們的IG吧 👉 https://goo.gl/HxyZnq",「年輕人只想著加班費」　資深主管被酸爆,link,https://tw.news.appledaily.com/life/realtime/20180322/1319651/,2018-03-23 06:20:00,1179,107,14,909,2,9,143,1,115,0
232633627068_10156936937097069,"如果沒有花生厚片跟去邊服務，就把焦糖冰奶還給我Q口Q
　
看更多 #影片，請加入 蘋果動未條 粉絲團",蘋果動未條,video,https://www.facebook.com/appledaily.animation/videos/834403410092182/,2018-03-23 06:10:00,91,13,6,81,0,1,8,0,1,0
232633627068_10156937455762069,"這窩真的好可愛啊～咦？你們沒聽到小雞的叫聲嗎？  (#在那編)
　
#蘋果生活 #草莓
🍎加入《蘋果》LINE，熱門新聞報你知 👉 https://goo.gl/pQ9xTe",震撼！整盒草莓變這樣　網友笑：小雞啾啾啾,link,https://tw.news.appledaily.com/life/realtime/20180322/1319746/,2018-03-23 06:00:00,532,16,3,391,1,51,89,0,0,0
232633627068_10156937112212069,"平常有在練這招吼😂
　
#台中 #金蟬脫殼",【落跑片】通緝犯失風脫衣逃　2秒金蟬脫殼超強,link,https://tw.news.appledaily.com/local/realtime/20180322/1319869/,2018-03-23 05:50:00,673,3,1,628,0,12,32,0,1,0
232633627068_10156937735092069,"所以到底是多少錢？網站要標清楚啊！ (#在那編)
　
#蘋果生活 #墾丁
🍎加入《蘋果》LINE，拒當知識魯窮宅 👉 https://goo.gl/pQ9xTe",一通電話！墾丁民宿3500元變6900元　她嚇到不敢訂了…,link,https://tw.news.appledaily.com/life/realtime/20180322/1320319/,2018-03-23 05:40:00,3957,243,66,2815,10,407,228,9,488,0
232633627068_10156937612502069,"劉聰枝妻：「去年中他癌症復發，切舌沒法講話，那時他就跟我交待，若他有萬一，要我好好照顧孩子。我跟他說，『放心，再辛苦，我都會努力顧孩子長大。』」
　
基金會編號：A4390
蘋果慈善基金會求助‧捐款專線：0809-008585 (每日上午10時至晚上7時)
　
【#火線話題】#暖蘋果 新聞 讓世界更有力量❤
https://goo.gl/WH371c
　
#暖新聞 #正能量 #有洋蔥 蘋果愛逗陣行",【暖流】48歲男為家人抗癌8年仍早逝 遺願要妻…,link,https://tw.news.appledaily.com/life/realtime/20180322/1318771/,2018-03-23 05:30:01,272,2,8,201,7,4,2,58,0,0
232633627068_10156937784057069,"#內有影片
不要騎這麼快啦...會怕！ (#在那編)
　
#蘋果國際 #重機",重機催油門瞬間撞四輪　慘！騎士飛摔重傷,link,https://tw.news.appledaily.com/international/realtime/20180322/1320298/,2018-03-23 05:20:00,562,9,3,493,1,33,34,0,1,0
232633627068_10156937103827069,"他有變成恐怖情人的潛力(´ﾟдﾟ`)
　",他當面勒斃女友愛犬　下場是這樣,link,https://tw.news.appledaily.com/local/realtime/20180322/1320083/,2018-03-23 05:10:00,1610,49,7,880,2,66,4,13,645,0
232633627068_10156937050322069,"那之前筆試只拿33K的人作何感想？！
　
#台中捷運 #招考
🍎不一樣的蘋果日報，加入我們的IG吧 👉 https://goo.gl/HxyZnq",中捷50K徵人只面試　國民黨轟：酬庸招考,link,https://tw.news.appledaily.com/politics/realtime/20180322/1319839/,2018-03-23 05:00:00,631,59,12,455,3,19,95,1,58,0
232633627068_10156937427677069,"不管484工讀生扮的，這好適合做表情包啊XD  (#在那編)
　
#蘋果國際 #人臉猴
🍎加入《蘋果》LINE，拒當知識魯窮宅 👉 https://goo.gl/pQ9xTe",悟空是你？　「人臉猴」橫空出世,link,https://tw.news.appledaily.com/international/realtime/20180322/1319689/,2018-03-23 04:00:01,186,4,3,160,0,8,18,0,0,0
232633627068_10156937410107069,"謝謝這五位有為的青年們，救人一命勝造七級浮屠啊！  (#在那編)
　
#蘋果國際",醉女體重破百險變浮屍　被5男「撿屍」獲救,link,https://tw.news.appledaily.com/international/realtime/20180322/1319619/,2018-03-23 03:00:00,791,8,9,707,5,33,46,0,0,0
232633627068_10156937672427069,"#內有影片
至少我看完是不想吃的，你呢？  (#在那編)
　
#蘋果國際 #巧克力",網紅腿開開菊花取模　想吃嗎？這種巧克力,link,https://tw.news.appledaily.com/international/realtime/20180322/1319470/,2018-03-23 02:30:00,1741,83,44,1543,5,84,104,1,4,0
232633627068_10156937405102069,"就算不是什麼青梅竹馬，也不能下這麼狠的手啊(`皿´)  #在那編
　
#蘋果國際",慎入！兒時玩伴變殺人魔　女慘遭冰箱封屍,link,https://tw.news.appledaily.com/international/realtime/20180322/1319595/,2018-03-23 02:00:01,1431,11,12,1046,0,140,2,22,222,-1
232633627068_10156937393122069,"關於這場車禍，我們至少有了第一條線索(？  (#在那編)
　
#蘋果社會",「鐵證如山」他出車禍　證據全寫在臉上,link,https://tw.news.appledaily.com/local/realtime/20180322/1319854/,2018-03-23 01:50:00,9774,322,230,6535,15,1036,2131,50,7,0
232633627068_10156937030712069,"到底是有多醉啦😂
　
#酒駕 #開車不喝酒喝酒不開車",【糗片】誤當上酒店　摸警小手手「會去消費」,link,https://tw.news.appledaily.com/local/realtime/20180322/1319824/,2018-03-23 01:40:00,839,29,4,634,0,14,186,1,4,0
